price,address,bds,ba,sqft,image
"$599,900","13449 161st St, Jamaica, NY 11434",3,3,"1,280",https://photos.zillowstatic.com/fp/27c8725d4d89d62d303a23474366a9aa-p_e.jpg
"$599,000","35 Ludlow St, Staten Island, NY 10312",3,2,"1,512",https://photos.zillowstatic.com/fp/dc2c671ecfc5ab74e7590606907cdb91-p_e.jpg
"$499,000","193 E 37th St #B, Brooklyn, NY 11203",4,2,"1,824",N/A
"$680,000","161 E 31st St, Brooklyn, NY 11226",7,3,"2,184",https://photos.zillowstatic.com/fp/543f7c1248e3fae9b7942ccb51baf147-p_e.jpg
"$100,000","45 Tudor City Pl, New York, NY 10017",--,--,--,N/A
"$288,000","92 Hamilton Ave #5DE, Yonkers, NY 10705",4,1,"1,945",https://photos.zillowstatic.com/fp/5373f9d6627da4d4d2faea0ef23b5f9a-p_e.jpg
"$545,000","45 Tudor City Pl APT 907, New York, NY 10017",1,1,550,https://photos.zillowstatic.com/fp/f21f846dc68a1364925bde0c525e9c24-p_e.jpg
"$439,000","8401 Main St APT 602, Briarwood, NY 11435",2,2,"1,100",https://photos.zillowstatic.com/fp/2b7dd3cc7c05ef6264015bc4c66cf889-p_e.jpg
"$4,385,000","1145 84th St, Brooklyn, NY 11228",6,5,"3,420",https://photos.zillowstatic.com/fp/43ff5f594359569af9c67ff2b3f1548b-p_e.jpg
"$450,000","72 Clinton St, New York, NY 10002",1,1,"14,425","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$13,000","460 Main St, New York, NY 10044",2,1,"2,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$549,000","107 Clawson St, Staten Island, NY 10306",3,2,962,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$605,000","6903 67th Pl, Glendale, NY 11385",3,1,"1,314","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$597,500","130 Lenox Ave APT 206, New York, NY 10026",2,1,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$780,000","414 Bradford St, Brooklyn, NY 11207",6,3,"3,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$259,000","44 Wavecrest St, Staten Island, NY 10306",2,1,704,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$375,000","207 W 144th St APT 3C, New York, NY 10030",3,2,900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$649,999","116-17 130th St, South Ozone Park, NY 11420",4,2,"1,372","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$159,500","2120 Mapes Ave APT F, Bronx, NY 10460",3,1,980,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$875,000","2241 Gunther Ave, Bronx, NY 10469",5,3,"3,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$288,000","92 Hamilton Ave #5ED, Yonkers, NY 10705",4,1,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$950,000","11421 158th St, Jamaica, NY 11434",6,3,"2,500","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$725,000","259 E 34th St, Brooklyn, NY 11203",3,2,"1,507","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$2,850,000","170 W 76th St PENTHOUSE 3, New York, NY 10023",3,4,"1,700","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$610,000","1200 Albany Ave, Brooklyn, NY 11203",3,2,"1,508",N/A
"$749,900","420 E 64th St APT W3J, New York, NY 10065",1,1,800,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$355,000","49 Stone Ln, Staten Island, NY 10314",2,2,"1,008","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$799,000","3123 Seymour Ave, Bronx, NY 10469",8,3,"3,450","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$625,000","4028 Barnes Ave, Bronx, NY 10466",3,2,"1,374","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$339,000","3500 Snyder Ave APT 7M, Brooklyn, NY 11203",2,1,"1,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$949,999","25 Bocce Ct, Staten Island, NY 10307",5,4,"3,187","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$628,000","754 Tompkins Ave, Staten Island, NY 10305",3,2,"1,120","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$279,000","67-27 152nd St #208B, Flushing, NY 11367",1,1,750,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,950,000","2959 215th Pl, Flushing, NY 11360",4,4.5,"3,560","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$525,000","79 Comstock Ave, Staten Island, NY 10314",3,2,"1,700","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$639,000","1658 Troy Ave, Brooklyn, NY 11234",2,3,"1,584","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$949,000","230 Jay St APT 8J, Brooklyn, NY 11201",2,2,900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$295,000","14461 Village Rd APT 28D, Jamaica, NY 11435",2,1,"1,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$669,000","99-72 66th Rd APT 1G, Rego Park, NY 11374",3,2,"1,400","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$525,000","750 Park Ave #8D, New York, NY 10021",Studio,1,500,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$639,000","1640 Troy Ave, Brooklyn, NY 11234",2,3,"1,584",https://photos.zillowstatic.com/fp/214140c3ba0941b14eff98b449440fc1-p_e.jpg
"$600,000","3347 14th St APT 5D, Astoria, NY 11106",3,2,--,https://photos.zillowstatic.com/fp/dcbf54de791339c310a99e9adee0d918-p_e.jpg
"$619,000","110 E 8th Rd, Broad Channel, NY 11693",2,2,"1,200",https://photos.zillowstatic.com/fp/34b22bf2a4c16c13e523879a9152a249-p_e.jpg
"$327,000","149-05 79th Ave APT 221, Flushing, NY 11367",2,1,"1,000",https://photos.zillowstatic.com/fp/12688d865a05723f214deaf88b1fd876-p_e.jpg
"$1,499,000","217-07 38th Ave, Bayside, NY 11361",4,4,"2,100",https://photos.zillowstatic.com/fp/6492708ba5d8069450675e6ae234e878-p_e.jpg
"$631,000","411 Mosely Ave, Staten Island, NY 10312",3,2,"1,578",https://photos.zillowstatic.com/fp/cd763c32d66e413693c6a5afa0d62e72-p_e.jpg
